date,precipitation,humidity
2021.1.1,0.00,64
2021.1.2,0.00,38.5
2021.1.3,0.00,45
2021.1.4,0.00,51.4
2021.1.5,0.00,52.8
2021.1.6,2.30,54.6
2021.1.7,0.00,49.9
2021.1.8,0.00,44
2021.1.9,0.00,46.3
2021.1.10,0.00,54.4
2021.1.11,0.00,62.1
2021.1.12,2.60,79.5
2021.1.13,0.00,80.3
2021.1.14,,46.5
2021.1.15,0.20,67.4
2021.1.16,,59.3
2021.1.17,0.00,58.5
2021.1.18,0.30,64.3
2021.1.19,,37.9
2021.1.20,,37.8
2021.1.21,9.20,64.4
2021.1.22,0.10,92.9
2021.1.23,,66
2021.1.24,,63.9
2021.1.25,,62
2021.1.26,1.70,80.4
2021.1.27,,47.6
2021.1.28,2.00,52.3
2021.1.29,,40
2021.1.30,0.50,60
2021.1.31,,57
2021.2.1,0.70,74.5
2021.2.2,0.00,44.1
2021.2.3,3.40,64.6
2021.2.4,0.10,50.1
2021.2.5,,71.8
2021.2.6,,80.4
2021.2.7,,67
2021.2.8,,43.6
2021.2.9,,51.9
2021.2.10,,75.1
2021.2.11,,71.5
2021.2.12,,60.6
2021.2.13,,50.6
2021.2.14,0.00,47.6
2021.2.15,1.40,65.1
2021.2.16,1.50,57.9
2021.2.17,0.00,44.1
2021.2.18,,44.9
2021.2.19,,66.9
2021.2.20,,60.4
2021.2.21,,66.6
2021.2.22,,58.3
2021.2.23,,34
2021.2.24,,33
2021.2.25,,35.1
2021.2.26,,35
2021.2.27,,48.6
2021.2.28,,49
2021.3.1,67.50,91
2021.3.2,0.10,75.9
2021.3.3,,64.4
2021.3.4,,62.4
2021.3.5,,70.3
2021.3.6,,69.5
2021.3.7,,62.9
2021.3.8,,60.3
2021.3.9,,58.5
2021.3.10,,61.8
2021.3.11,,50.8
2021.3.12,0.00,57
2021.3.13,,62.8
2021.3.14,,71.4
2021.3.15,1.70,68.8
2021.3.16,1.30,52.5
2021.3.17,,44.9
2021.3.18,,50.1
2021.3.19,,47.9
2021.3.20,5.10,74.6
2021.3.21,0.30,65.9
2021.3.22,,55.3
2021.3.23,,63.5
2021.3.24,,61.5
2021.3.25,,68.5
2021.3.26,,58.4
2021.3.27,25.50,70.9
2021.3.28,9.20,95.8
2021.3.29,0.20,62.3
2021.3.30,,47.3
2021.3.31,,41
2021.4.1,,33
2021.4.2,0.00,35.6
2021.4.3,56.20,80.8
2021.4.4,0.60,65.8
2021.4.5,,47.9
2021.4.6,,50.9
2021.4.7,,47.5
2021.4.8,,34
2021.4.9,,39.3
2021.4.10,,50
2021.4.11,,45.4
2021.4.12,22.00,70.4
2021.4.13,8.00,74
2021.4.14,,58.5
2021.4.15,,62.3
2021.4.16,0.70,60
2021.4.17,0.00,56.6
2021.4.18,,64.3
